Sno,Brand,Category,Product_type,Product_Name,Product_code,Price
355,BIBA,Women,Kurta,SEA GREEN COTTON STRAIGHT KURTA GARARA SUIT SET,SKDROSEBOW8643SS23SEAGRN,"₹6,995"
356,BIBA,Women,Kurta,CORAL COTTON BLEND LAYERED KURTA CHURIDAR SUIT SET,SKDKINARI8614SS23CRL,"₹8,995"
357,BIBA,Women,Kurta,DARK GREEN COTTON STRAIGHT KURTA PALAZZO SUIT SET,SKDINDTO8960AW23DGRN,"₹3,599"
358,BIBA,Women,Kurta,WHITE PINK COTTON ANARKALI PRINTED KURTA CHURIDAR SUIT SET,SKD7771AW23WHTPNK,"₹6,500"
359,BIBA,Women,Kurta,OFF WHITE POLYESTER STRAIGHT PRINTED 2 PIECE SET,FSTVE2208AW23OWHT,"₹3,599"
360,BIBA,Women,Kurta,MUSTARD NATURAL DOBY STRAIGHT YARNDYED 2 PIECE SET,WRKWR2090AW23MUSTNAT,"₹3,599"
361,BIBA,Women,Kurta,ROHIT BAL BLACK COTTON SILK ANARKALI PRINTED SUIT SET,CKD9488AW23BLK,"₹19,950"
362,BIBA,Women,Kurta,BLUE POLY COTTON ANARKALI KURTA PALAZZO SUIT SET,SKDASRTD9305AW23BLU,"₹4,995"
363,BIBA,Women,Kurta,ROHIT BAL BEIGE COTTON SILK ANARKALI PRINTED SUIT SET,CKD9441AW23BEG,"₹12,950"
364,BIBA,Women,Kurta,PINK VISCOSE STRAIGHT KURTA SLIM PANT SUIT SET,SKDSTRA8979AW23PNK,"₹5,995"
365,BIBA,Women,Kurta,SAGE GREEN LIVA STRAIGHT KURTA PALAZZO SUIT SET,SKDCHINTZ9097AW23SAGEGRN,"₹3,599"
366,BIBA,Women,Kurta,MUSTARD LIVA STRAIGHT SOLID 2 PIECE SET,AWADHCOLL2110AW23MUST,"₹4,599"
367,BIBA,Women,Kurta,RED POLYESTER ANARKALI KURTA PALAZZO SUIT SET,SKDPASN9077AW23RED,"₹6,995"
368,BIBA,Women,Kurta,ROHIT BAL NAVY COTTON SILK ANARKALI PRINTED SUIT SET,CKD9489AW23NVY,"₹19,950"
369,BIBA,Women,Kurta,CARBON BLACK LIVA STRAIGHT PRINTED SUIT SET,WRKWR2134AW23CRBNBLK,"₹3,999"
370,BIBA,Women,Kurta,BLACK POLY DUPION PRINTED 2 PIECE SET,SKIRTSE2188AW23BLK,"₹4,599"
371,BIBA,Women,Kurta,GREEN LIVA STRAIGHT KURTA PALAZZO SUIT SET,SKDASRTD8826AW23GRN,"₹3,299"
372,BIBA,Women,Kurta,MUSTARD COTTON BLEND STRAIGHT YARNDYED KURTA PALAZZO SUIT SET,SKDBNRSI8851AW23MUST,"₹6,995"
373,BIBA,Women,Kurta,GREEN SILK STRAIGHT KURTA SLIM PANT SUIT SET,SKDKABULKA8241AW22GRN,"₹6,995"
374,BIBA,Women,Kurta,WHITE & PINK COTTON ANARKALI KURTA CHURIDAR SUIT SET,SKD7771SS23WHTPNK,"₹6,500"
375,BIBA,Women,Kurta,PINK COTTON BLEND ANARKALI EMBROIDERED KURTA SUIT SET,SKDKINARI8539SS23PNK,"₹23,950"
